,sorghum_sold
0,1
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,2
26,1
27,2
28,1
29,1
30,1
31,1
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,0
40,1
41,1
42,2
43,1
44,2
45,1
46,2
47,2
48,1
49,1
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,1
59,1
60,2
61,1
62,1
63,1
64,2
65,2
66,2
67,2
68,2
69,1
70,1
71,1
72,1
73,2
74,1
75,1
76,1
77,2
78,1
79,1
80,1
81,1
82,2
83,1
84,2
85,1
86,1
87,1
88,1
89,2
90,1
91,2
92,1
93,1
94,2
95,1
96,1
97,2
98,1
99,1
100,2
101,1
102,2
103,1
104,2
105,1
106,1
107,2
108,2
109,1
110,2
111,1
112,1
113,2
114,1
115,2
116,1
117,1
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,1
129,2
130,2
131,1
132,1
133,1
134,1
135,2
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,1
149,1
150,1
151,2
152,1
153,2
154,1
155,1
156,1
157,1
158,2
159,2
160,2
161,1
162,2
163,2
164,2
165,2
166,2
167,1
168,1
169,1
170,2
171,2
172,1
173,1
174,2
175,1
176,1
177,1
178,2
179,1
180,1
181,2
182,2
183,1
184,2
185,2
186,1
187,2
188,3
189,2
190,1
191,1
192,1
193,2
194,1
195,1
196,2
197,2
198,1
199,2
200,2
201,1
202,1
203,1
204,1
205,2
206,2
