,Chronic,Occasional,Break-even,Food surplus
0,,2,,
1,,2,,
2,,2,,
3,,2,,
4,,2,,
5,,2,,
6,,2,,
7,,2,,
8,,2,,
9,,2,,
10,,2,,
11,,2,,
12,,2,,
13,,2,,
14,,,3,
15,,,3,
16,,,3,
17,,,3,
18,,,3,
19,,,3,
20,,,3,
21,,,3,
22,,,3,
23,,,3,
24,,,3,
25,,,3,
26,,,3,
27,,,3,
28,,,3,
29,,,3,
30,,,3,
31,,,3,
32,,,3,
33,,,3,
34,,,3,
35,,,3,
36,,,3,
37,,,3,
38,,,3,
39,,,3,
40,,,3,
41,,2,,
42,,2,,
43,,,,4
44,,2,,
45,,,3,
46,,,,4
47,,,3,
48,,2,,
49,,2,,
50,1,,,
51,,,3,
52,,,3,
53,,,3,
54,,2,,
55,,2,,
56,,2,,
57,,2,,
58,,,,4
59,1,,,
60,,2,,
61,,,3,
62,,,,4
63,,,3,
64,,2,,
65,,2,,
66,,2,,
67,,2,,
68,,,3,
69,,,3,
70,,,3,
71,,,3,
72,,,3,
73,,,3,
74,,,3,
75,,,3,
76,,,3,
77,,,,4
78,,,3,
79,,2,,
80,,,3,
81,,,3,
82,,,3,
83,,,,4
84,,,3,
85,,,3,
86,,,3,
87,,,3,
88,,,3,
89,,2,,
90,,,,4
91,,2,,
92,,,3,
93,1,,,
94,,,,4
95,,,3,
96,,,3,
97,,,,4
98,,,3,
99,,2,,
100,,,3,
101,,2,,
102,,,,4
103,,,,4
104,1,,,
105,,,3,
106,,,,4
107,,,3,
108,1,,,
109,,,3,
110,,,3,
111,,,3,
112,,,3,
113,,,3,
114,,,3,
115,,,3,
116,,,3,
117,,,,4
118,,,3,
119,,,3,
120,,,3,
121,,,3,
122,,,3,
123,,,3,
124,,2,,
125,,,3,
126,,2,,
127,,2,,
128,,,3,
129,,,3,
130,,2,,
131,,,3,
132,,,3,
133,,,,4
134,,,3,
135,,2,,
136,,,3,
137,,,3,
138,,2,,
139,,,,4
140,,2,,
141,,,,4
142,,,,4
143,1,,,
144,,,,4
145,,,3,
146,,,3,
147,,,3,
148,,2,,
149,,,3,
150,,,3,
151,,,3,
152,,,,4
153,,,3,
154,,,3,
155,,,3,
156,,,3,
157,,,3,
158,,2,,
159,,2,,
160,,2,,
161,,,3,
162,,2,,
163,,2,,
164,,2,,
165,,2,,
166,,2,,
167,,,3,
168,,,,4
169,,,3,
170,,,3,
171,,,3,
172,,,3,
173,,,3,
174,,2,,
175,,,3,
176,,,3,
177,,,3,
178,,2,,
179,,,3,
180,,,,4
181,,2,,
182,,2,,
183,,,3,
184,,,3,
185,,,3,
186,,,3,
187,,2,,
188,,,3,
189,,2,,
190,,,3,
191,,,3,
192,,,3,
193,,2,,
194,,,3,
195,,,,4
196,,2,,
197,,2,,
198,,,3,
199,,2,,
200,,2,,
201,,,3,
202,,,3,
203,,,3,
204,,,3,
205,,2,,
206,,2,,
207,,2,,
